"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","assignmentID","mturkID","hitID","task_version","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","feedback_num","bonus","responses"
"","null","html-keyboard-response","80","319697","0.0-5.0-2.12","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","1008.5450001060963","image-keyboard-response","81","320707","0.0-5.0-0.13","j7gcx","","","","v1","img/orange.png","32","trial","32","true","0.6,0.4","go_a","","",""
"","null","html-keyboard-response","82","322209","0.0-5.0-1.13","j7gcx","","","","v1","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.6,0.4","go_a","0","",""
"","null","html-keyboard-response","83","323209","0.0-5.0-2.13","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","875.535000115633","image-keyboard-response","84","324085","0.0-5.0-0.14","j7gcx","","","","v1","img/yellow.png","32","trial","32","true","0.6,0.4","go_c","","",""
"","null","html-keyboard-response","85","325589","0.0-5.0-1.14","j7gcx","","","","v1","<img src=""img/yellow-r.png"" border=""10"">","null","trial","32","","0.6,0.4","go_c","0","",""
"","null","html-keyboard-response","86","326592","0.0-5.0-2.14","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","297.9300001170486","image-keyboard-response","87","326891","0.0-5.0-0.15","j7gcx","","","","v1","img/grey.png","32","trial","null","false","0.4,0.6","nogo_b","","",""
"","null","html-keyboard-response","88","328394","0.0-5.0-1.15","j7gcx","","","","v1","<img src=""img/grey-r.png"" border=""10"">","null","trial","null","","0.4,0.6","nogo_b","0","",""
"","null","html-keyboard-response","89","329394","0.0-5.0-2.15","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","278.6449999548495","image-keyboard-response","90","329674","0.0-5.0-0.16","j7gcx","","","","v1","img/grey.png","32","trial","null","false","0.4,0.6","nogo_b","","",""
"","null","html-keyboard-response","91","331176","0.0-5.0-1.16","j7gcx","","","","v1","<img src=""img/grey-n.png"" border=""10"">","null","trial","null","","0.4,0.6","nogo_b","0","",""
"","null","html-keyboard-response","92","332176","0.0-5.0-2.16","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","288.315000012517","image-keyboard-response","93","332466","0.0-5.0-0.17","j7gcx","","","","v1","img/orange.png","32","trial","32","true","0.6,0.4","go_a","","",""
"","null","html-keyboard-response","94","333968","0.0-5.0-1.17","j7gcx","","","","v1","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.6,0.4","go_a","0","",""
"","null","html-keyboard-response","95","334969","0.0-5.0-2.17","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","450.3099999856204","image-keyboard-response","96","335420","0.0-5.0-0.18","j7gcx","","","","v1","img/purple.png","32","trial","null","false","0.4,0.6","nogo_d","","",""
"","null","html-keyboard-response","97","336923","0.0-5.0-1.18","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","null","","0.4,0.6","nogo_d","0","",""
"","null","html-keyboard-response","98","337926","0.0-5.0-2.18","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","218.58999994583428","image-keyboard-response","99","338145","0.0-5.0-0.19","j7gcx","","","","v1","img/yellow.png","32","trial","32","true","0.6,0.4","go_c","","",""
"","null","html-keyboard-response","100","339649","0.0-5.0-1.19","j7gcx","","","","v1","<img src=""img/yellow-r.png"" border=""10"">","null","trial","32","","0.6,0.4","go_c","0","",""
"","null","html-keyboard-response","101","340651","0.0-5.0-2.19","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1216.9700001832098}]","1217.2199999913573","instructions","102","341868","0.0-6.0","j7gcx","","","","v1","","","","","","","","","",""
"","578.5850000102073","image-keyboard-response","103","342448","0.0-7.0-0.0","j7gcx","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","104","343950","0.0-7.0-1.0","j7gcx","","","","v1","<img src=""img/pink-n.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","105","344951","0.0-7.0-2.0","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","251.0299999266863","image-keyboard-response","106","345203","0.0-7.0-0.1","j7gcx","","","","v1","img/orange.png","32","trial","null","false","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","107","346708","0.0-7.0-1.1","j7gcx","","","","v1","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","108","347709","0.0-7.0-2.1","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","114.5750000141561","image-keyboard-response","109","347825","0.0-7.0-0.2","j7gcx","","","","v1","img/green.png","32","trial","null","false","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","110","349327","0.0-7.0-1.2","j7gcx","","","","v1","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_d","0","",""
"","null","html-keyboard-response","111","350327","0.0-7.0-2.2","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","20.655000116676092","image-keyboard-response","112","350349","0.0-7.0-0.3","j7gcx","","","","v1","img/purple.png","32","trial","32","true","0.8,0.2","go_c","","",""
"","null","html-keyboard-response","113","351851","0.0-7.0-1.3","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_c","0","",""
"","null","html-keyboard-response","114","352854","0.0-7.0-2.3","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","277.87000010721385","image-keyboard-response","115","353133","0.0-7.0-0.4","j7gcx","","","","v1","img/orange.png","32","trial","null","false","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","116","354637","0.0-7.0-1.4","j7gcx","","","","v1","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","117","355639","0.0-7.0-2.4","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","1140.0250000879169","image-keyboard-response","118","356780","0.0-7.0-0.5","j7gcx","","","","v1","img/green.png","32","trial","null","false","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","119","358282","0.0-7.0-1.5","j7gcx","","","","v1","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_d","0","",""
"","null","html-keyboard-response","120","359284","0.0-7.0-2.5","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","431.3249997794628","image-keyboard-response","121","359716","0.0-7.0-0.6","j7gcx","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","122","361219","0.0-7.0-1.6","j7gcx","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","123","362222","0.0-7.0-2.6","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
