"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","assignmentID","mturkID","hitID","task_version","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","bonus","responses"
"","null","html-keyboard-response","33","39627","0.0-7.0-2.0","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","232.67000005580485","image-keyboard-response","34","39861","0.0-7.0-0.1","zdnl9","","","","v1","img/yellow.png","32","trial","null","false","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","35","41363","0.0-7.0-1.1","zdnl9","","","","v1","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","36","42365","0.0-7.0-2.1","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","248.15999995917082","image-keyboard-response","37","42614","0.0-7.0-0.2","zdnl9","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","38","44117","0.0-7.0-1.2","zdnl9","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","1","",""
"","null","html-keyboard-response","39","45118","0.0-7.0-2.2","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","227.86999982781708","image-keyboard-response","40","45347","0.0-7.0-0.3","zdnl9","","","","v1","img/orange.png","32","trial","null","false","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","41","46849","0.0-7.0-1.3","zdnl9","","","","v1","<img src=""img/orange-r.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_d","1","",""
"","null","html-keyboard-response","42","47851","0.0-7.0-2.3","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"[{""page_index"":0,""viewing_time"":717.2799999825656}]","717.5249999854714","instructions","43","48569","0.0-8.0","zdnl9","","","","v1","","","","","","","","","",""
"","428.1950001604855","image-keyboard-response","44","48998","0.0-9.0-0.0","zdnl9","","","","v1","img/blue.png","32","trial","null","false","0.4,0.6","nogo_d","","",""
"","null","html-keyboard-response","45","50502","0.0-9.0-1.0","zdnl9","","","","v1","<img src=""img/blue-r.png"" border=""10"">","null","trial","null","","0.4,0.6","nogo_d","1","",""
"","null","html-keyboard-response","46","51503","0.0-9.0-2.0","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","116.2650000769645","image-keyboard-response","47","51620","0.0-9.0-0.1","zdnl9","","","","v1","img/grey.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","48","53124","0.0-9.0-1.1","zdnl9","","","","v1","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","49","54125","0.0-9.0-2.1","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","30.995000153779984","image-keyboard-response","50","54157","0.0-9.0-0.2","zdnl9","","","","v1","img/orange.png","32","trial","null","false","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","51","55660","0.0-9.0-1.2","zdnl9","","","","v1","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","52","56661","0.0-9.0-2.2","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","210.91499994508922","image-keyboard-response","53","56873","0.0-9.0-0.3","zdnl9","","","","v1","img/pink.png","32","trial","32","true","0.6,0.4","go_c","","",""
"","null","html-keyboard-response","54","58377","0.0-9.0-1.3","zdnl9","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.6,0.4","go_c","1","",""
"","null","html-keyboard-response","55","59378","0.0-9.0-2.3","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"[{""page_index"":0,""viewing_time"":437.8199998755008}]","438.120000064373","instructions","56","59816","0.0-10.0","zdnl9","","","","v1","","","","","","","","","",""
"","352.0649999845773","image-keyboard-response","57","60169","0.0-11.0-0.0","zdnl9","","","","v1","img/green.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","58","61673","0.0-11.0-1.0","zdnl9","","","","v1","<img src=""img/green-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","1","",""
"","null","html-keyboard-response","59","62676","0.0-11.0-2.0","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","302.4750000331551","image-keyboard-response","60","62980","0.0-11.0-0.1","zdnl9","","","","v1","img/blue.png","32","trial","null","false","0,1","nogo_d","","",""
"","null","html-keyboard-response","61","64482","0.0-11.0-1.1","zdnl9","","","","v1","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0,1","nogo_d","0","",""
"","null","html-keyboard-response","62","65484","0.0-11.0-2.1","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
